File,Language,Transcription,Normalized Transcription
01-1_burps_ah-200106_1520-001.wav,en,Thank you.,Thank you.
01-1_burps_ah-200106_1520-002.wav,en,Uh-uh.,Uhuh.
01-1_burps_ah-200106_1520-003.wav,en,Uh.,Uh.
01-1_burps_ah-200106_1520-004.wav,en,Uh uh,Uh uh
01-1_burps_ah-200106_1520-005.wav,en,Buk!,Buk!
01-1_burps_ah-200106_1520-006.wav,en,Pfft.,Pfft.
01-1_burps_ah-200106_1520-007.wav,en,Ah!,Ah!
01-1_burps_ah-200106_1520-008.wav,en,Uh.,Uh.
01-1_burps_ah-200106_1520-009.wav,en,Thank you.,Thank you.
01-1_burps_ah-200106_1520-010.wav,en,Thank you.,Thank you.
01-1_burps_ah-200106_1520-011.wav,en,Ah!,Ah!
01-1_burps_ah-200106_1520-012.wav,en,Uh.,Uh.
01-1_burps_ah-200106_1520-013.wav,en,Uh.,Uh.
02-regular breathing_mouth_bigger gain-190430_1406.wav,en,I'm going to do it.,I'm going to do it.
13-quick inhales_EE_gain@8+ws-190430_1438-011.wav,en,PEE!,PEE!
13-quick inhales_EE_gain@8+ws-190430_1438-012.wav,en,He!,He!
13-quick inhales_EE_gain@8+ws-190430_1438-013.wav,en,HEE!,HEE!
13-quick inhales_EE_gain@8+ws-190430_1438-014.wav,en,Ha!,Ha!
13-quick inhales_EE_gain@8+ws-190430_1438-015.wav,en,He!,He!
13-quick inhales_EE_gain@8+ws-190430_1438-016.wav,en,Hey!,Hey!
14-quick inhales_OH_gain@8+ws-190430_1439-010.wav,en,Huh?,Huh?
14-quick inhales_OH_gain@8+ws-190430_1439-011.wav,en,Huh?,Huh?
14-quick inhales_OH_gain@8+ws-190430_1439-012.wav,en,Huh?,Huh?
14-quick inhales_OH_gain@8+ws-190430_1439-013.wav,en,Huh?,Huh?
14-quick inhales_OH_gain@8+ws-190430_1439-014.wav,en,Huh?,Huh?
14-quick inhales_OH_gain@8+ws-190430_1439-015.wav,en,Huh?,Huh?
