File,Language,Transcription,Normalized Transcription
102-w-190430_1709-001-001.wav,en,W.,W.
102-w-190430_1709-001-002.wav,en,W.,W.
102-w-190430_1709-001-003.wav,en,W,W
102-w-190430_1709-001-004.wav,en,W.,W.
102-w-190430_1709-001-005.wav,en,W.,W.
102-w-190430_1709-001-006.wav,en,W.,W.
102-w-190430_1709-002-001.wav,en,What?,What?
102-w-190430_1709-002-002.wav,en,What?,What?
102-w-190430_1709-002-003.wav,en,What?,What?
102-w-190430_1709-002-004.wav,en,What?,What?
102-w-190430_1709-002-005.wav,en,What?,What?
102-w-190430_1709-002-006.wav,ko,뭐?,뭐?
102-w-190430_1709-003-001.wav,ja,わっ,わっ
102-w-190430_1709-003-002.wav,en,Wuh!,Wuh!
102-w-190430_1709-003-003.wav,en,Wh-,Wh
102-w-190430_1709-003-004.wav,en,W-,W
102-w-190430_1709-003-005.wav,ja,おぉ,おぉ
102-w-190430_1709-003-006.wav,ja,わっ,わっ
102-w-190430_1709-003-007.wav,ja,わっ,わっ
102-w-190430_1709-004-001.wav,ko,와,와
102-w-190430_1709-004-002.wav,ko,와,와
102-w-190430_1709-004-003.wav,en,What?,What?
102-w-190430_1709-004-004.wav,en,What?,What?
102-w-190430_1709-004-005.wav,en,What?,What?
102-w-190430_1709-004-006.wav,en,What?,What?
102-w-190430_1709-004-007.wav,en,What?,What?
106-x-190430_1711-001-001.wav,en,X.,X.
106-x-190430_1711-001-002.wav,en,X.,X.
106-x-190430_1711-001-003.wav,en,X.,X.
106-x-190430_1711-001-004.wav,en,X.,X.
106-x-190430_1711-001-005.wav,en,X.,X.
106-x-190430_1711-001-006.wav,en,X.,X.
106-x-190430_1711-001-007.wav,en,X.,X.
106-x-190430_1711-002-001.wav,en,X,X
106-x-190430_1711-002-002.wav,en,X,X
106-x-190430_1711-002-003.wav,en,X,X
106-x-190430_1711-002-004.wav,en,X.,X.
106-x-190430_1711-002-005.wav,en,X,X
106-x-190430_1711-002-006.wav,en,X,X
106-x-190430_1711-002-007.wav,en,X,X
106-x-190430_1711-003-001.wav,en,Psh!,Psh!
106-x-190430_1711-003-002.wav,en,Psh!,Psh!
106-x-190430_1711-003-003.wav,en,X,X
106-x-190430_1711-003-004.wav,en,Psh!,Psh!
106-x-190430_1711-003-005.wav,en,Pfft!,Pfft!
106-x-190430_1711-003-006.wav,en,Psh!,Psh!
106-x-190430_1711-003-007.wav,en,X,X
106-x-190430_1711-004-001.wav,en,Pfft!,Pfft!
106-x-190430_1711-004-002.wav,en,K.,K.
106-x-190430_1711-004-003.wav,en,X.,X.
106-x-190430_1711-004-004.wav,en,Pfft!,Pfft!
106-x-190430_1711-004-005.wav,en,X,X
106-x-190430_1711-004-006.wav,en,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX
110-190430_1713-001-001.wav,en,Why?,Why?
110-190430_1713-001-002.wav,en,Why?,Why?
110-190430_1713-001-003.wav,en,Why?,Why?
110-190430_1713-001-004.wav,en,Why?,Why?
110-190430_1713-001-005.wav,en,Why?,Why?
110-190430_1713-001-006.wav,en,Why?,Why?
110-190430_1713-001-007.wav,en,Why?,Why?
110-190430_1713-001-008.wav,en,Why?,Why?
110-190430_1713-002-001.wav,en,Why?,Why?
110-190430_1713-002-002.wav,en,Why?,Why?
110-190430_1713-002-003.wav,en,Why?,Why?
110-190430_1713-002-004.wav,en,Why?,Why?
110-190430_1713-002-005.wav,en,Why?,Why?
110-190430_1713-003-001.wav,en,Why?,Why?
110-190430_1713-003-002.wav,ja,はい,はい
110-190430_1713-003-003.wav,en,Why?,Why?
110-190430_1713-003-004.wav,en,Bye!,Bye!
110-190430_1713-003-005.wav,ja,ほい,ほい
110-190430_1713-003-006.wav,ja,はい,はい
110-190430_1713-003-007.wav,en,Why?,Why?
113-190430_1714-001-001.wav,en,Z.,Z.
113-190430_1714-001-002.wav,en,Z,Z
113-190430_1714-001-003.wav,en,Z,Z
113-190430_1714-001-004.wav,en,Z,Z
113-190430_1714-001-005.wav,en,Z,Z
113-190430_1714-001-006.wav,en,Z,Z
98-190430_1706-01-002-007.wav,en,Hmm.,Hmm.
98-190430_1706-01-002-008.wav,en,Mmm.,Mmm.
98-190430_1706-01-002-009.wav,en,Hmm.,Hmm.
98-190430_1706-01-002-010.wav,ja,ん,ん
98-190430_1706-01-003-001.wav,en,Vvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvv,Vvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvv
98-190430_1706-01-003-002.wav,en,Buh!,Buh!
98-190430_1706-01-003-003.wav,en,Hmm.,Hmm.
98-190430_1706-01-003-004.wav,en,Uhhhhhh!,Uhhhhhh!
98-190430_1706-01-003-005.wav,en,Hmm.,Hmm.
98-190430_1706-01-003-006.wav,en,Hmm.,Hmm.
98-190430_1706-01-003-007.wav,en,Hmm.,Hmm.
98-190430_1706-01-004-001.wav,en,Ha!,Ha!
98-190430_1706-01-004-002.wav,en,Ha!,Ha!
98-190430_1706-01-004-003.wav,en,T,T
98-190430_1706-01-004-004.wav,en,T.,T.
98-190430_1706-01-004-005.wav,en,Maa!,Maa!
98-190430_1706-01-004-006.wav,en,NOOOOO,NOOOOO
98-190430_1706-01-004-007.wav,en,AHHHHH,AHHHHH
