File,Language,Transcription,Normalized Transcription
12-quick inhales_EH_gain@8+ws-190430_1436-007.wav,en,Huh?,Huh?
12-quick inhales_EH_gain@8+ws-190430_1436-008.wav,en,Huh?,Huh?
12-quick inhales_EH_gain@8+ws-190430_1436-009.wav,en,Huh?,Huh?
12-quick inhales_EH_gain@8+ws-190430_1436-010.wav,en,Huh?,Huh?
12-quick inhales_EH_gain@8+ws-190430_1436-011.wav,en,Heh!,Heh!
12-quick inhales_EH_gain@8+ws-190430_1436-012.wav,en,Huh?,Huh?
12-quick inhales_EH_gain@8+ws-190430_1436-013.wav,en,Huh?,Huh?
12-quick inhales_EH_gain@8+ws-190430_1436-014.wav,en,Huh?,Huh?
12-quick inhales_EH_gain@8+ws-190430_1436-015.wav,en,Ha!,Ha!
12-quick inhales_EH_gain@8+ws-190430_1436-016.wav,en,Huh?,Huh?
12-quick inhales_EH_gain@8+ws-190430_1436-017.wav,en,Huh?,Huh?
12-quick inhales_EH_gain@8+ws-190430_1436-018.wav,en,Huh?,Huh?
12-quick inhales_EH_gain@8+ws-190430_1436-019.wav,en,Huh?,Huh?
12-quick inhales_EH_gain@8+ws-190430_1436-020.wav,en,Huh?,Huh?
86-s_spoken_gain@8-190430_1656-001-008.wav,en,S,S
86-s_spoken_gain@8-190430_1656-002-001.wav,en,S.,S.
86-s_spoken_gain@8-190430_1656-002-002.wav,en,S.,S.
86-s_spoken_gain@8-190430_1656-002-003.wav,en,Ss!,Ss!
86-s_spoken_gain@8-190430_1656-002-004.wav,en,S.,S.
86-s_spoken_gain@8-190430_1656-002-005.wav,en,S,S
86-s_spoken_gain@8-190430_1656-002-006.wav,en,S.,S.
86-s_spoken_gain@8-190430_1656-002-007.wav,en,Ss.,Ss.
86-s_spoken_gain@8-190430_1656-002-008.wav,en,S.,S.
