File,Language,Transcription,Normalized Transcription
04-4_burps_oh-200106_1543-007.wav,en,Uh.,Uh.
04-4_burps_oh-200106_1543-008.wav,en,Oh!,Oh!
04-4_burps_oh-200106_1543-009.wav,en,Uh uh uh,Uh uh uh
04-4_burps_oh-200106_1543-010.wav,en,Oh! Oh! Oh! Oh! Oh!,Oh! Oh! Oh! Oh! Oh!
04-4_burps_oh-200106_1543-011.wav,en,Oh,Oh
04-4_burps_oh-200106_1543-012.wav,en,"Oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh","Oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh"
04-4_burps_oh-200106_1543-013.wav,en,Uh oh. Uh oh.,Uh oh. Uh oh.
04-4_burps_oh-200106_1543-014.wav,en,Uh.,Uh.
04-regular breathing_mouth_gain @10  + windshield-190430_1412.wav,nn,1.5%,1.5%
05-5_burps_oo -200106_1544-001.wav,en,"Oh, oh, oh.","Oh, oh, oh."
05-5_burps_oo -200106_1544-002.wav,en,Oh,Oh
05-5_burps_oo -200106_1544-003.wav,en,Do-do-do-do-do-do-do-do-do-do-do-do-do-do-do-do-do-do-do-do-do-do-do-do-do-do-do-do-do-do-do-do-do-do-do-do-do-do-do-do-do-do-do-do-do-do-do-do-do-do-do-do-do-do-do-do-do-do-do-do-do-do-do-do-do-do-do-do-do-do-do-do-do-do-do-do-do-do-do-do-do-do-do-do-do-do-do-do-do-do-do-do-do-do-do-do-do-do-do-do-do-do-do-do-do-do-do-do-do-do-do-do,Dodododododododododododododododododododododododododododododododododododododododododododododododododododododododododododododododododododododododododododododododododododododododododododododododododododododododododododododododo
05-regular breathing_EE_mouth_gain @10  + windshield-190430_1415-01.wav,en,I'm going to do it.,I'm going to do it.
06-6_burps_consonants-200106_1545-001.wav,en,Thank you for watching!,Thank you for watching!
17-quick exhales_EH_gain@8+ws-190430_1445-003.wav,en,Ha!,Ha!
17-quick exhales_EH_gain@8+ws-190430_1445-004.wav,en,Ha!,Ha!
17-quick exhales_EH_gain@8+ws-190430_1445-005.wav,en,Huh?,Huh?
17-quick exhales_EH_gain@8+ws-190430_1445-006.wav,en,Huh?,Huh?
17-quick exhales_EH_gain@8+ws-190430_1445-007.wav,en,Ha!,Ha!
17-quick exhales_EH_gain@8+ws-190430_1445-008.wav,en,Huh?,Huh?
17-quick exhales_EH_gain@8+ws-190430_1445-009.wav,en,Ha!,Ha!
17-quick exhales_EH_gain@8+ws-190430_1445-010.wav,en,Huh?,Huh?
17-quick exhales_EH_gain@8+ws-190430_1445-011.wav,en,Ha!,Ha!
17-quick exhales_EH_gain@8+ws-190430_1445-012.wav,en,Huh?,Huh?
17-quick exhales_EH_gain@8+ws-190430_1445-013.wav,en,Huh?,Huh?
17-quick exhales_EH_gain@8+ws-190430_1445-014.wav,en,Huh?,Huh?
17-quick exhales_EH_gain@8+ws-190430_1445-015.wav,en,Ha!,Ha!
17-quick exhales_EH_gain@8+ws-190430_1445-016.wav,en,Huh?,Huh?
17-quick exhales_EH_gain@8+ws-190430_1445-017.wav,en,Huh?,Huh?
17-quick exhales_EH_gain@8+ws-190430_1445-018.wav,en,Ha!,Ha!
17-quick exhales_EH_gain@8+ws-190430_1445-019.wav,en,Huh.,Huh.
17-quick exhales_EH_gain@8+ws-190430_1445-020.wav,en,Ha!,Ha!
17-quick exhales_EH_gain@8+ws-190430_1445-021.wav,en,Huh?,Huh?
17-quick exhales_EH_gain@8+ws-190430_1445-022.wav,en,Huh?,Huh?
17-quick exhales_EH_gain@8+ws-190430_1445-023.wav,en,Ha!,Ha!
17-quick exhales_EH_gain@8+ws-190430_1445-024.wav,en,Ha!,Ha!
17-quick exhales_EH_gain@8+ws-190430_1445-025.wav,en,Ha!,Ha!
17-quick exhales_EH_gain@8+ws-190430_1445-026.wav,en,Huh?,Huh?
17-quick exhales_EH_gain@8+ws-190430_1445-027.wav,en,Huh?,Huh?
17-quick exhales_EH_gain@8+ws-190430_1445-028.wav,en,Huh?,Huh?
18-18_sighing_oo -200106_1601-001.wav,en,Uhhhhhh,Uhhhhhh
18-18_sighing_oo -200106_1601-002.wav,en,Oh,Oh
18-18_sighing_oo -200106_1601-003.wav,en,you,you
18-18_sighing_oo -200106_1601-004.wav,en,you,you
18-18_sighing_oo -200106_1601-005.wav,en,Uhhh...,Uhhh...
18-18_sighing_oo -200106_1601-006.wav,en,you,you
18-18_sighing_oo -200106_1601-007.wav,en,you,you
18-18_sighing_oo -200106_1601-008.wav,en,Hoooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo,Hoooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo
18-18_sighing_oo -200106_1601-009.wav,en,Oh,Oh
18-18_sighing_oo -200106_1601-010.wav,en,Oh,Oh
18-18_sighing_oo -200106_1601-011.wav,en,you,you
18-18_sighing_oo -200106_1601-012.wav,en,Phew.,Phew.
18-18_sighing_oo -200106_1601-013.wav,en,Oh!,Oh!
18-18_sighing_oo -200106_1601-014.wav,en,Oh,Oh
18-18_sighing_oo -200106_1601-015.wav,en,Oh.,Oh.
18-18_sighing_oo -200106_1601-016.wav,en,Ooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo,Ooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo
18-18_sighing_oo -200106_1601-017.wav,en,Ooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo,Ooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo
18-18_sighing_oo -200106_1601-018.wav,en,Ooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo,Ooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo
18-18_sighing_oo -200106_1601-019.wav,en,Oh,Oh
18-18_sighing_oo -200106_1601-020.wav,en,Who?,Who?
18-18_sighing_oo -200106_1601-021.wav,en,Oh.,Oh.
18-18_sighing_oo -200106_1601-022.wav,en,you,you
18-18_sighing_oo -200106_1601-023.wav,en,Oh,Oh
18-quick exhales_EE_gain@8+ws-190430_1447-001.wav,en,You,You
18-quick exhales_EE_gain@8+ws-190430_1447-002.wav,en,Hey!,Hey!
18-quick exhales_EE_gain@8+ws-190430_1447-003.wav,en,Heh!,Heh!
18-quick exhales_EE_gain@8+ws-190430_1447-004.wav,en,HEE!,HEE!
18-quick exhales_EE_gain@8+ws-190430_1447-005.wav,en,Huh?,Huh?
18-quick exhales_EE_gain@8+ws-190430_1447-006.wav,en,Hey!,Hey!
18-quick exhales_EE_gain@8+ws-190430_1447-007.wav,en,HAH!,HAH!
18-quick exhales_EE_gain@8+ws-190430_1447-008.wav,en,Heh!,Heh!
18-quick exhales_EE_gain@8+ws-190430_1447-009.wav,en,you,you
18-quick exhales_EE_gain@8+ws-190430_1447-010.wav,en,Hey!,Hey!
18-quick exhales_EE_gain@8+ws-190430_1447-011.wav,en,Hey!,Hey!
18-quick exhales_EE_gain@8+ws-190430_1447-012.wav,en,Heh!,Heh!
