File,Language,Transcription,Normalized Transcription
13-13_crying-200106_1552-012.wav,en,Ha ha ha ha!,Ha ha ha ha!
13-13_crying-200106_1552-013.wav,en,Ha ha ha!,Ha ha ha!
13-13_crying-200106_1552-014.wav,en,Oh!,Oh!
13-13_crying-200106_1552-015.wav,en,Ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha,Ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha
13-13_crying-200106_1552-016.wav,en,Ha ha ha ha!,Ha ha ha ha!
13-13_crying-200106_1552-017.wav,en,Ha ha ha!,Ha ha ha!
13-13_crying-200106_1552-018.wav,en,Oh!,Oh!
13-13_crying-200106_1552-019.wav,en,Ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha,Ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha
13-13_crying-200106_1552-020.wav,en,Ha ha ha ha!,Ha ha ha ha!
13-13_crying-200106_1552-021.wav,en,Ha ha ha!,Ha ha ha!
13-quick inhales_EE_gain@8+ws-190430_1438-001.wav,en,HEE!,HEE!
13-quick inhales_EE_gain@8+ws-190430_1438-002.wav,en,HEE!,HEE!
13-quick inhales_EE_gain@8+ws-190430_1438-003.wav,en,Pfft!,Pfft!
13-quick inhales_EE_gain@8+ws-190430_1438-004.wav,en,HEE!,HEE!
13-quick inhales_EE_gain@8+ws-190430_1438-005.wav,en,Hey!,Hey!
13-quick inhales_EE_gain@8+ws-190430_1438-006.wav,en,Hey!,Hey!
13-quick inhales_EE_gain@8+ws-190430_1438-007.wav,en,P.,P.
13-quick inhales_EE_gain@8+ws-190430_1438-008.wav,en,HEE!,HEE!
13-quick inhales_EE_gain@8+ws-190430_1438-009.wav,en,Hey!,Hey!
13-quick inhales_EE_gain@8+ws-190430_1438-010.wav,en,Hey!,Hey!
47-g_spoken_gain@8-190430_1534-002-004.wav,zh,哥,哥
47-g_spoken_gain@8-190430_1534-002-005.wav,zh,哥,哥
47-g_spoken_gain@8-190430_1534-003-001.wav,ja,かっ,かっ
47-g_spoken_gain@8-190430_1534-003-002.wav,ja,ご視聴ありがとうございました!,ご視聴ありがとうございました!
47-g_spoken_gain@8-190430_1534-003-003.wav,ja,くっ,くっ
47-g_spoken_gain@8-190430_1534-003-004.wav,ja,ご視聴ありがとうございました!,ご視聴ありがとうございました!
47-g_spoken_gain@8-190430_1534-003-005.wav,ja,ご視聴ありがとうございました!,ご視聴ありがとうございました!
47-g_spoken_gain@8-190430_1534-004-001.wav,ko,구!,구!
47-g_spoken_gain@8-190430_1534-004-002.wav,ko,구!,구!
47-g_spoken_gain@8-190430_1534-004-003.wav,ja,ごっ,ごっ
47-g_spoken_gain@8-190430_1534-004-004.wav,en,Buh!,Buh!
47-g_spoken_gain@8-190430_1534-004-005.wav,en,Go!,Go!
48-chest voice_oo-190516_2038-glued-001.wav,en,The,The
48-chest voice_oo-190516_2038-glued-002.wav,en,you,you
49-speech_closed mouth-190516_2040-glued.wav,zh,我以為你會有什麼事我以為你會有什麼事我以為你會有什麼事我以為你會有什麼事我以為你會有什麼事,我以為你會有什麼事我以為你會有什麼事我以為你會有什麼事我以為你會有什麼事我以為你會有什麼事
50-speech_covered mouth-190516_2041-glued.wav,zh,我看你从哪里走到这里我看你从哪里走到这里我看你从哪里走到这里我看你从哪里走到这里我看你从哪里走到这里我看你从哪里走到这里我看你从哪里走到这里我看你从哪里走到这里,我看你从哪里走到这里我看你从哪里走到这里我看你从哪里走到这里我看你从哪里走到这里我看你从哪里走到这里我看你从哪里走到这里我看你从哪里走到这里我看你从哪里走到这里
51-h_spoken_gain@8-190430_1537-001-001.wav,en,H.,H.
51-h_spoken_gain@8-190430_1537-001-002.wav,pt,H.,H.
51-h_spoken_gain@8-190430_1537-001-003.wav,en,H.,H.
51-h_spoken_gain@8-190430_1537-001-004.wav,en,H.,H.
51-h_spoken_gain@8-190430_1537-002-001.wav,en,H.,H.
51-h_spoken_gain@8-190430_1537-002-002.wav,en,H.,H.
51-h_spoken_gain@8-190430_1537-002-003.wav,en,H.,H.
51-h_spoken_gain@8-190430_1537-002-004.wav,en,H.,H.
51-h_spoken_gain@8-190430_1537-002-005.wav,en,H.,H.
51-h_spoken_gain@8-190430_1537-002-006.wav,en,H.,H.
51-plosive consonants-190516_2043-glued-001.wav,en,Thank you.,Thank you.
51-plosive consonants-190516_2043-glued-002.wav,en,Thank you.,Thank you.
51-plosive consonants-190516_2043-glued-003.wav,en,Thank you.,Thank you.
51-plosive consonants-190516_2043-glued-004.wav,ko,끝까지도 끝까지도 끝까지도 끝까지도,끝까지도 끝까지도 끝까지도 끝까지도
51-plosive consonants-190516_2043-glued-005.wav,en,"Good job, good job, good job.","Good job, good job, good job."
56-l_spoken_gain@8-190430_1542-004-008.wav,en,Hi!,Hi!
60-m_spoken_gain@8-190430_1625-001-001.wav,en,M,M
60-m_spoken_gain@8-190430_1625-001-002.wav,en,M,M
60-m_spoken_gain@8-190430_1625-001-003.wav,en,M,M
60-m_spoken_gain@8-190430_1625-001-004.wav,en,N.,N.
60-m_spoken_gain@8-190430_1625-001-005.wav,en,M,M
60-m_spoken_gain@8-190430_1625-001-006.wav,en,M,M
60-m_spoken_gain@8-190430_1625-001-007.wav,en,M,M
60-m_spoken_gain@8-190430_1625-002-001.wav,en,Hmm.,Hmm.
60-m_spoken_gain@8-190430_1625-002-002.wav,en,Hmm.,Hmm.
60-m_spoken_gain@8-190430_1625-002-003.wav,en,Hmm.,Hmm.
60-m_spoken_gain@8-190430_1625-002-004.wav,en,Hmm.,Hmm.
60-m_spoken_gain@8-190430_1625-002-005.wav,en,Hmm.,Hmm.
60-m_spoken_gain@8-190430_1625-002-006.wav,en,Hmm.,Hmm.
60-m_spoken_gain@8-190430_1625-002-007.wav,en,Hmm.,Hmm.
60-m_spoken_gain@8-190430_1625-003-001.wav,en,Hmm.,Hmm.
60-m_spoken_gain@8-190430_1625-003-002.wav,en,Hmm.,Hmm.
60-m_spoken_gain@8-190430_1625-003-003.wav,en,Hmm.,Hmm.
60-m_spoken_gain@8-190430_1625-003-004.wav,en,Hmm.,Hmm.
60-m_spoken_gain@8-190430_1625-003-005.wav,en,Hmm.,Hmm.
60-m_spoken_gain@8-190430_1625-003-006.wav,en,Hmm?,Hmm?
60-m_spoken_gain@8-190430_1625-003-007.wav,en,Hmm.,Hmm.
60-m_spoken_gain@8-190430_1625-004-001.wav,en,BEEP!,BEEP!
60-m_spoken_gain@8-190430_1625-004-002.wav,en,BEEP!,BEEP!
60-m_spoken_gain@8-190430_1625-004-003.wav,en,BEEH!,BEEH!
60-m_spoken_gain@8-190430_1625-004-004.wav,en,BEEP!,BEEP!
60-m_spoken_gain@8-190430_1625-004-005.wav,en,BEEP!,BEEP!
60-m_spoken_gain@8-190430_1625-004-006.wav,en,BOOF!,BOOF!
60-m_spoken_gain@8-190430_1625-004-007.wav,en,BEEP!,BEEP!
64-n_spoken_gain@8-190430_1628-001-001.wav,en,n,n
64-n_spoken_gain@8-190430_1628-001-002.wav,en,N,N
64-n_spoken_gain@8-190430_1628-001-003.wav,en,N.,N.
64-n_spoken_gain@8-190430_1628-001-004.wav,en,N,N
64-n_spoken_gain@8-190430_1628-001-005.wav,en,N.,N.
64-n_spoken_gain@8-190430_1628-001-006.wav,en,N.,N.
98-190430_1706-01-002-006.wav,en,Hmm.,Hmm.
