File,Language,Transcription,Normalized Transcription
29-B_percussive_low range-190430_1512-003.wav,en,Buh!,Buh!
29-B_percussive_low range-190430_1512-004.wav,en,Buh!,Buh!
29-B_percussive_low range-190430_1512-005.wav,en,Buh!,Buh!
29-B_percussive_low range-190430_1512-006.wav,en,Buh.,Buh.
29-B_percussive_low range-190430_1512-007.wav,en,Buh.,Buh.
29-B_percussive_low range-190430_1512-008.wav,en,Buh.,Buh.
29-teeth scrubbing_finger-190516_2005-glued-01-001.wav,nn,1.5-1.5-1.5-1.5-1.5-1.5-1.5-1.5-1.5-1.5-1.5-1.5-1.5-1.5-1.5-1.5-1.5-1.5-1.5-1.5-1.5-1.5-1.5-1.5-1.5-1.5-1.5-1.5-1.5-1.5-1.5-1.5-1.5-1.5-1.5-1.5-1.5-1.5-1.5-1.5-1.5-1.5-1.5-1.5-1.5-1.5-1.5-1.5-1.5-1.5-1.5-1.5-1.5-1.5-1.5-1.5,1.51.51.51.51.51.51.51.51.51.51.51.51.51.51.51.51.51.51.51.51.51.51.51.51.51.51.51.51.51.51.51.51.51.51.51.51.51.51.51.51.51.51.51.51.51.51.51.51.51.51.51.51.51.51.51.5
29-teeth scrubbing_finger-190516_2005-glued-01-002.wav,en,Thank you.,Thank you.
30-teeth_tapping-190516_2007-glued.wav,en,Oh sorry.,Oh sorry.
31-eating_crunchy_pear-190516_2010-glued-001.wav,nn,💛,💛
31-eating_crunchy_pear-190516_2010-glued-002.wav,nn,💛,💛
31-eating_crunchy_pear-190516_2010-glued-003.wav,nn,1.0%,1.0%
31-eating_crunchy_pear-190516_2010-glued-004.wav,nn,🤔,🤔
31-eating_crunchy_pear-190516_2010-glued-005.wav,en,Thank you for watching!,Thank you for watching!
31-eating_crunchy_pear-190516_2010-glued-006.wav,en,you,you
31-eating_crunchy_pear-190516_2010-glued-007.wav,en,Thank you.,Thank you.
32-pursed lips_inhale-190516_2012-glued-001.wav,en,I'm not gonna die! I'm not gonna die! I'm not gonna die!,I'm not gonna die! I'm not gonna die! I'm not gonna die!
