File,Language,Transcription,Normalized Transcription
113-190430_1714-001-007.wav,en,Z,Z
113-190430_1714-002-001.wav,en,Z,Z
113-190430_1714-002-002.wav,en,Z,Z
113-190430_1714-002-003.wav,en,Z,Z
113-190430_1714-002-004.wav,en,Z,Z
113-190430_1714-002-005.wav,en,Z,Z
113-190430_1714-002-006.wav,en,Z,Z
113-190430_1714-002-007.wav,en,Z,Z
113-190430_1714-003-001.wav,en,Huh?,Huh?
113-190430_1714-003-002.wav,en,Yes.,Yes.
113-190430_1714-003-003.wav,en,Mm.,Mm.
113-190430_1714-003-004.wav,en,Ehh!,Ehh!
113-190430_1714-003-005.wav,en,Ehh.,Ehh.
113-190430_1714-003-006.wav,en,Bzzzz.,Bzzzz.
113-190430_1714-003-007.wav,en,Hmm.,Hmm.
113-190430_1714-004-001.wav,en,Huh?,Huh?
113-190430_1714-004-002.wav,en,Hiss!,Hiss!
113-190430_1714-004-003.wav,en,Huh?,Huh?
113-190430_1714-004-004.wav,en,You,You
113-190430_1714-004-005.wav,en,This!,This!
113-190430_1714-004-006.wav,en,Huh?,Huh?
113-190430_1714-004-007.wav,en,Fuh!,Fuh!
113-190430_1714-004-008.wav,en,Ehh!,Ehh!
113-190430_1714-005-001.wav,en,Zzzzz.,Zzzzz.
113-190430_1714-005-002.wav,en,Ugh.,Ugh.
113-190430_1714-005-003.wav,en,Mm.,Mm.
113-190430_1714-005-004.wav,en,Hmm.,Hmm.
113-190430_1714-005-005.wav,en,Z.,Z.
113-190430_1714-005-006.wav,en,Z,Z
113-190430_1714-005-007.wav,en,Z.,Z.
117-whispered_text_gain@8-190430_1720-001.wav,en,you,you
117-whispered_text_gain@8-190430_1720-002.wav,en,Skin was split.,Skin was split.
117-whispered_text_gain@8-190430_1720-003.wav,en,Hear your night wires with flesh.,Hear your night wires with flesh.
117-whispered_text_gain@8-190430_1720-004.wav,en,with nerves.,with nerves.
117-whispered_text_gain@8-190430_1720-005.wav,en,Masalint bone exposed.,Masalint bone exposed.
117-whispered_text_gain@8-190430_1720-006.wav,en,"My body, side.","My body, side."
117-whispered_text_gain@8-190430_1720-007.wav,en,"Painier, luscious.","Painier, luscious."
117-whispered_text_gain@8-190430_1720-008.wav,en,"Ecosystem of blood, flesh, bone and electricity.","Ecosystem of blood, flesh, bone and electricity."
117-whispered_text_gain@8-190430_1720-009.wav,en,Primitive firing of synapses.,Primitive firing of synapses.
117-whispered_text_gain@8-190430_1720-010.wav,en,"Are we, if not?","Are we, if not?"
117-whispered_text_gain@8-190430_1720-011.wav,en,Proof of entrance to the body.,Proof of entrance to the body.
117-whispered_text_gain@8-190430_1720-012.wav,en,The skin knits itself back together.,The skin knits itself back together.
117-whispered_text_gain@8-190430_1720-013.wav,en,Become the foe of all things.,Become the foe of all things.
117-whispered_text_gain@8-190430_1720-014.wav,en,"Barms, sculpting me unfamiliar.","Barms, sculpting me unfamiliar."
117-whispered_text_gain@8-190430_1720-015.wav,en,flesh becomes clay.,flesh becomes clay.
117-whispered_text_gain@8-190430_1720-016.wav,en,"My bones, water, my atoms, liquefers.","My bones, water, my atoms, liquefers."
117-whispered_text_gain@8-190430_1720-017.wav,en,If the body were not the soul.,If the body were not the soul.
117-whispered_text_gain@8-190430_1720-018.wav,en,bodies can seal themselves.,bodies can seal themselves.
117-whispered_text_gain@8-190430_1720-019.wav,en,As much as the soul.,As much as the soul.
117-whispered_text_gain@8-190430_1720-020.wav,en,If those who defile the living,If those who defile the living
117-whispered_text_gain@8-190430_1720-021.wav,en,and discover them.,and discover them.
117-whispered_text_gain@8-190430_1720-022.wav,en,"Till I go with them, respond to them.","Till I go with them, respond to them."
117-whispered_text_gain@8-190430_1720-023.wav,en,The charge of the soul.,The charge of the soul.
117-whispered_text_gain@8-190430_1720-024.wav,en,I sing the body electric.,I sing the body electric.
117-whispered_text_gain@8-190430_1720-025.wav,en,Those who cropped their own bodies.,Those who cropped their own bodies.
117-whispered_text_gain@8-190430_1720-026.wav,en,What is the soul?,What is the soul?
117-whispered_text_gain@8-190430_1720-027.wav,en,Thank you.,Thank you.
117-whispered_text_gain@8-190430_1720-028.wav,en,you,you
117-whispered_text_gain@8-190430_1720-029.wav,en,They who defile the dead.,They who defile the dead.
117-whispered_text_gain@8-190430_1720-030.wav,en,Thank you.,Thank you.
117-whispered_text_gain@8-190430_1720-031.wav,en,If the body does not,If the body does not
118-spoken_text_gain@7-190430_1723-001.wav,en,Skin was split.,Skin was split.
118-spoken_text_gain@7-190430_1723-002.wav,en,You unite wires with flesh.,You unite wires with flesh.
118-spoken_text_gain@7-190430_1723-003.wav,en,with nerves.,with nerves.
118-spoken_text_gain@7-190430_1723-004.wav,en,muscle and bone exposed.,muscle and bone exposed.
118-spoken_text_gain@7-190430_1723-005.wav,en,"My body, Sighter","My body, Sighter"
118-spoken_text_gain@7-190430_1723-006.wav,en,Paleolithic knowledge is,Paleolithic knowledge is
118-spoken_text_gain@7-190430_1723-007.wav,en,Acres system of blood.,Acres system of blood.
118-spoken_text_gain@7-190430_1723-008.wav,en,"flesh, bone and electricity.","flesh, bone and electricity."
118-spoken_text_gain@7-190430_1723-009.wav,en,primitive firing of synapses.,primitive firing of synapses.
118-spoken_text_gain@7-190430_1723-010.wav,en,"Are we, if not?","Are we, if not?"
118-spoken_text_gain@7-190430_1723-011.wav,en,"Are we, if not?","Are we, if not?"
118-spoken_text_gain@7-190430_1723-012.wav,en,proof of entrance to the body.,proof of entrance to the body.
118-spoken_text_gain@7-190430_1723-013.wav,en,The skin knits itself back together.,The skin knits itself back together.
118-spoken_text_gain@7-190430_1723-014.wav,en,become the void of all things.,become the void of all things.
118-spoken_text_gain@7-190430_1723-015.wav,en,harm sculpting me unfamiliar.,harm sculpting me unfamiliar.
118-spoken_text_gain@7-190430_1723-016.wav,en,flesh becomes clay.,flesh becomes clay.
118-spoken_text_gain@7-190430_1723-017.wav,en,"My bones, water.","My bones, water."
118-spoken_text_gain@7-190430_1723-018.wav,en,My atoms liquefied.,My atoms liquefied.
118-spoken_text_gain@7-190430_1723-019.wav,en,if the body were not the soul.,if the body were not the soul.
118-spoken_text_gain@7-190430_1723-020.wav,en,bodies conceal themselves.,bodies conceal themselves.
118-spoken_text_gain@7-190430_1723-021.wav,en,as much as the soul.,as much as the soul.
118-spoken_text_gain@7-190430_1723-022.wav,en,if those who defile the living.,if those who defile the living.
118-spoken_text_gain@7-190430_1723-023.wav,en,and discorrupt them.,and discorrupt them.
118-spoken_text_gain@7-190430_1723-024.wav,en,"Till I go with them, respond to them.","Till I go with them, respond to them."
118-spoken_text_gain@7-190430_1723-025.wav,en,the charge of the soul.,the charge of the soul.
118-spoken_text_gain@7-190430_1723-026.wav,en,I sing the body electric.,I sing the body electric.
118-spoken_text_gain@7-190430_1723-027.wav,en,those who corrupt their own bodies.,those who corrupt their own bodies.
118-spoken_text_gain@7-190430_1723-028.wav,en,What is the soul?,What is the soul?
118-spoken_text_gain@7-190430_1723-029.wav,en,They who defile the dead.,They who defile the dead.
118-spoken_text_gain@7-190430_1723-030.wav,en,if the body does not.,if the body does not.
119-text_consonants_gain@7-190430_1727-001.wav,en,Ssk.,Ssk.
119-text_consonants_gain@7-190430_1727-002.wav,en,Mmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmm,Mmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmm
119-text_consonants_gain@7-190430_1727-003.wav,fr,Ssple!,Ssple!
119-text_consonants_gain@7-190430_1727-004.wav,en,T.,T.
vocal fry_siren_eh - stem-001.wav,en,I'm sorry.,I'm sorry.
vocal fry_siren_eh - stem-002.wav,en,Oh,Oh
