File,Language,Transcription,Normalized Transcription
12-quick inhales_EH_gain@8+ws-190430_1436-021.wav,en,Huh?,Huh?
12-quick inhales_EH_gain@8+ws-190430_1436-022.wav,en,Huh?,Huh?
12-quick inhales_EH_gain@8+ws-190430_1436-023.wav,en,Huh?,Huh?
13-13_crying-200106_1552-001.wav,en,Ha ha ha!,Ha ha ha!
13-13_crying-200106_1552-002.wav,en,Oh!,Oh!
13-13_crying-200106_1552-003.wav,en,Ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha,Ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha
13-13_crying-200106_1552-004.wav,en,Ha ha ha ha!,Ha ha ha ha!
13-13_crying-200106_1552-005.wav,en,Ha ha ha!,Ha ha ha!
13-13_crying-200106_1552-006.wav,en,Oh!,Oh!
13-13_crying-200106_1552-007.wav,en,Ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha,Ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha
13-13_crying-200106_1552-008.wav,en,Ha ha ha ha!,Ha ha ha ha!
13-13_crying-200106_1552-009.wav,en,Ha ha ha!,Ha ha ha!
13-13_crying-200106_1552-010.wav,en,Oh!,Oh!
13-13_crying-200106_1552-011.wav,en,Ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha,Ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha
64-n_spoken_gain@8-190430_1628-001-007.wav,en,N.,N.
64-n_spoken_gain@8-190430_1628-002-001.wav,en,Hmm.,Hmm.
64-n_spoken_gain@8-190430_1628-002-002.wav,en,Hmm.,Hmm.
64-n_spoken_gain@8-190430_1628-002-003.wav,en,Hmm.,Hmm.
64-n_spoken_gain@8-190430_1628-002-004.wav,pl,N.,N.
64-n_spoken_gain@8-190430_1628-002-005.wav,en,Hmm.,Hmm.
64-n_spoken_gain@8-190430_1628-002-006.wav,en,Hmm.,Hmm.
64-n_spoken_gain@8-190430_1628-003-001.wav,en,Hmm.,Hmm.
64-n_spoken_gain@8-190430_1628-003-002.wav,en,Hmm.,Hmm.
64-n_spoken_gain@8-190430_1628-003-003.wav,en,Hmm.,Hmm.
64-n_spoken_gain@8-190430_1628-003-004.wav,en,N.,N.
64-n_spoken_gain@8-190430_1628-003-005.wav,en,M.,M.
64-n_spoken_gain@8-190430_1628-003-006.wav,en,Hmm.,Hmm.
64-n_spoken_gain@8-190430_1628-003-007.wav,en,N.,N.
64-n_spoken_gain@8-190430_1628-004-001.wav,en,BEE!,BEE!
64-n_spoken_gain@8-190430_1628-004-002.wav,en,BEEP!,BEEP!
64-n_spoken_gain@8-190430_1628-004-003.wav,en,BEEP!,BEEP!
64-n_spoken_gain@8-190430_1628-004-004.wav,en,BEEP!,BEEP!
64-n_spoken_gain@8-190430_1628-004-005.wav,en,BEEP! BEEP!,BEEP! BEEP!
77-r_spoken_gain@8-190430_1644-01-002-003.wav,en,or,or
77-r_spoken_gain@8-190430_1644-01-002-004.wav,en,are.,are.
77-r_spoken_gain@8-190430_1644-01-002-005.wav,en,or,or
77-r_spoken_gain@8-190430_1644-01-002-006.wav,en,or,or
77-r_spoken_gain@8-190430_1644-01-002-007.wav,en,are,are
77-r_spoken_gain@8-190430_1644-01-003-001.wav,en,Urgh!,Urgh!
77-r_spoken_gain@8-190430_1644-01-003-002.wav,en,Err.,Err.
77-r_spoken_gain@8-190430_1644-01-003-003.wav,en,Urgh.,Urgh.
77-r_spoken_gain@8-190430_1644-01-003-004.wav,en,Uh.,Uh.
77-r_spoken_gain@8-190430_1644-01-004-002.wav,en,Hmm.,Hmm.
77-r_spoken_gain@8-190430_1644-01-004-003.wav,en,Huh.,Huh.
77-r_spoken_gain@8-190430_1644-01-004-004.wav,en,huh,huh
77-r_spoken_gain@8-190430_1644-01-004-005.wav,en,Hmm.,Hmm.
77-r_spoken_gain@8-190430_1644-01-004-006.wav,en,Oh.,Oh.
77-r_spoken_gain@8-190430_1644-01-004-007.wav,en,Oh.,Oh.
77-r_spoken_gain@8-190430_1644-01-005-001.wav,en,Hmm.,Hmm.
77-r_spoken_gain@8-190430_1644-01-005-002.wav,en,Err.,Err.
77-r_spoken_gain@8-190430_1644-01-005-003.wav,en,Err.,Err.
77-r_spoken_gain@8-190430_1644-01-005-004.wav,en,Hmm.,Hmm.
77-r_spoken_gain@8-190430_1644-01-005-005.wav,en,Uh.,Uh.
77-r_spoken_gain@8-190430_1644-01-005-006.wav,en,Hmm.,Hmm.
77-r_spoken_gain@8-190430_1644-01-005-007.wav,en,Hmm.,Hmm.
77-r_spoken_gain@8-190430_1644-01-006-001.wav,en,or,or
77-r_spoken_gain@8-190430_1644-01-006-002.wav,en,Hi.,Hi.
77-r_spoken_gain@8-190430_1644-01-006-003.wav,en,or,or
77-r_spoken_gain@8-190430_1644-01-006-004.wav,en,Oh!,Oh!
77-r_spoken_gain@8-190430_1644-01-006-005.wav,en,Oh!,Oh!
77-r_spoken_gain@8-190430_1644-01-006-006.wav,en,or,or
77-r_spoken_gain@8-190430_1644-01-006-007.wav,en,Or?,Or?
77-r_spoken_gain@8-190430_1644-01-007-001.wav,en,Oh,Oh
77-r_spoken_gain@8-190430_1644-01-007-002.wav,en,Oh,Oh
77-r_spoken_gain@8-190430_1644-01-007-003.wav,en,BEEP!,BEEP!
