File,Language,Transcription,Normalized Transcription
10-10_throat_gargle_water-200106_1549-010.wav,en,B-B-B-B-B-B-B-B-B-B-B-B-B-B-B-B-B-B-B-B-B-B-B-B-B-B-B-B-B-B-B-B-B-B-B-B-B-B-B-B-B-B-B-B-B-B-B-B-B-B-B-B-B-B-B-B-B-B-B-B-B-B-B-B-B-B-B-B-B-B-B-B-B-B-B-B-B-B-B-B-B-B-B-B-B-B-B-B-B-B-B-B-B-B-B-B-B-B-B-B-B-B-B-B-B-B-B-B-B-B-B-B,BBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBB
10-10_throat_gargle_water-200106_1549-011.wav,en,Music,Music
10-10_throat_gargle_water-200106_1549-012.wav,en,Thank you for watching!,Thank you for watching!
10-swallowing_gain@10+ws-190430_1431-001.wav,nn,🤔,🤔
10-swallowing_gain@10+ws-190430_1431-002.wav,ko,MBC 뉴스 김,MBC 뉴스 김
11-11_throat_gargle_water_quiet-200106_1550.wav,en,I'm going to go to the bathroom.,I'm going to go to the bathroom.
11-quick inhales_AH_gain@8+ws-190430_1434-001.wav,en,Thank you.,Thank you.
11-quick inhales_AH_gain@8+ws-190430_1434-002.wav,en,Huh?,Huh?
11-quick inhales_AH_gain@8+ws-190430_1434-003.wav,en,Huh?,Huh?
11-quick inhales_AH_gain@8+ws-190430_1434-004.wav,en,Ha!,Ha!
11-quick inhales_AH_gain@8+ws-190430_1434-005.wav,en,Huh.,Huh.
11-quick inhales_AH_gain@8+ws-190430_1434-006.wav,en,Huh?,Huh?
11-quick inhales_AH_gain@8+ws-190430_1434-007.wav,en,Huh?,Huh?
11-quick inhales_AH_gain@8+ws-190430_1434-008.wav,en,Huh?,Huh?
35-C_K_percussive_low range_gain@8-190430_1520-003-002.wav,en,K.,K.
35-C_K_percussive_low range_gain@8-190430_1520-003-003.wav,en,Pfft!,Pfft!
